currency,horizon_hours,tenor,delta,alpha,beta_on_residual,beta_t_stat,r2,n
BTC,12,120.0,0.9,0.0453074437460464,-0.5853407147711497,-0.2975493878217372,0.003834614701446526,25
BTC,12,180.0,0.1,0.058644322560080744,1.5368645409472022,1.3376149622010454,0.0721771090632527,25
BTC,12,180.0,0.2,0.04437692937035475,2.4917674891624007,1.8830650972011784,0.1335772980858465,25
BTC,12,180.0,0.3,-0.09409402713098303,3.359274234091927,3.848246597936123,0.3916792600372109,25
BTC,12,180.0,0.5,-0.12585823608843447,2.6223952284883483,3.128842467721361,0.2985592599782547,25
BTC,12,180.0,0.7,-0.04189918586510587,2.683298470648487,1.977587217279841,0.1453261798595743,25
BTC,12,180.0,0.8,-0.0986638895989793,3.896194217335632,2.8989469275965063,0.2676067330785137,25
BTC,12,180.0,0.9,0.211984489796011,-1.7601192992277412,-1.8129842869911041,0.12503986857665406,25
BTC,24,14.0,0.1,-0.162325302333049,-0.6612747279941371,-1.2823567796824544,0.044875537988684266,37
BTC,24,14.0,0.2,-0.20073870947070982,-1.2737024427645844,-1.1505539692023465,0.03644374673612061,37
